trade_date,equity,cash,positions
20240116,1000000.0,1149.0,3
20240117,945683.0,726.0,3
20240118,956360.0,1390.0,3
20240119,929422.0,4421.0,3
20240123,894714.0,1146.0,3
20240124,916902.0,792.0,3
20240125,954560.0,1356.0,3
20240126,943648.0,1282.0,3
20240129,903186.0,846.0,3
20240130,879437.0,397.0,3
20240131,853727.0,62.0,3
20240201,865934.0,389.0,3
20240202,849789.0,82.0,3
20240205,789510.0,6514.0,3
20240206,798643.0,473.0,3
20240207,843401.0,106.0,3
20240208,878230.0,382.0,3
20240219,914980.0,263.0,3
20240220,935024.0,329.0,3
20240221,925447.0,423.0,3
20240229,960976.0,185.0,3
20240304,942644.0,423.0,3
20240305,943711.0,563.0,3
20240306,951330.0,128.0,3
20240307,973109.0,662.0,3
20240308,1001864.0,140.0,3
20240311,1080835.0,435.0,3
20240312,1189441.0,130.0,3
20240313,1183864.0,505.0,3
20240314,1175639.0,784690.0,1
20240315,1171661.0,324.0,3
20240318,1197498.0,32.0,3
20240319,1198902.0,802110.0,1
20240320,1205274.0,426.0,3
20240321,1241811.0,414560.0,2
20240325,1130609.0,934.0,3
20240326,1110990.0,1156.0,3
20240327,1091342.0,569.0,3
20240328,1129969.0,99.0,3
20240329,1190824.0,1079.0,3
20240401,1201574.0,1005.0,3
20240402,1221442.0,107.0,3
20240403,1167778.0,520.0,3
20240408,1136245.0,229.0,3
20240409,1103757.0,1032.0,3
20240410,1040953.0,3215.0,3
20240411,1022320.0,89.0,3
20240412,1009175.0,233.0,3
20240415,942817.0,249.0,3
20240416,882510.0,195.0,3
20240417,933012.0,359.0,3
20240418,929596.0,315.0,3
20240419,941139.0,125.0,3
20240422,931453.0,1584.0,3
20240423,961131.0,597.0,3
20240424,998426.0,725.0,3
20240425,1000588.0,249.0,3
20240426,999071.0,3005.0,3
20240429,1009154.0,559.0,3
20240430,985847.0,235.0,3
20240506,1042045.0,106.0,3
20240507,1040716.0,1631.0,3
20240508,1012265.0,155.0,3
20240509,978777.0,162.0,3
20240510,977649.0,30.0,3
20240513,978852.0,962.0,3
20240514,980478.0,120.0,3
20240515,1078941.0,262.0,3
20240516,1068089.0,148.0,3
20240517,1120736.0,467.0,3
20240520,1122175.0,540.0,3
20240521,1076276.0,52.0,3
20240522,1082416.0,1776.0,3
20240523,1081688.0,55.0,3
20240524,1082945.0,504.0,3
20240527,1094397.0,895.0,3
20240528,1092787.0,43.0,3
20240529,1082982.0,189.0,3
20240530,1057519.0,429.0,3
20240531,1052976.0,317.0,3
20240603,1065924.0,237.0,3
20240604,1060891.0,60.0,3
20240605,1060940.0,38.0,3
20240606,967696.0,50.0,3
20240607,945234.0,262.0,3
20240611,918300.0,487.0,3
20240612,952029.0,203.0,3
20240613,963906.0,62.0,3
20240614,1038869.0,585.0,3
20240617,1026301.0,680.0,3
20240618,1016763.0,137.0,3
20240619,978515.0,337.0,3
20240620,938967.0,178.0,3
20240621,936858.0,1145.0,3
20240624,886489.0,515.0,3
20240625,879023.0,71.0,3
20240626,857583.0,1659.0,3
20240627,865644.0,680.0,3
20240628,888152.0,860.0,3
20240701,895764.0,164.0,3
20240702,931023.0,97.0,3
20240703,916108.0,1344.0,3
20240704,890953.0,65.0,3
20240705,913304.0,673.0,3
20240708,874293.0,292071.0,2
20240709,922782.0,16.0,3
20240710,934230.0,673.0,3
20240711,978276.0,210.0,3
20240712,967413.0,0.0,3
20240715,930285.0,1217.0,3
20240716,917757.0,234.0,3
20240717,897880.0,123.0,3
20240718,913199.0,512.0,3
20240719,922818.0,262.0,3
20240722,902160.0,186.0,3
20240723,917382.0,91.0,3
20240724,900040.0,168.0,3
20240725,898627.0,588.0,3
20240726,905530.0,1442.0,3
20240729,903801.0,50.0,3
20240730,958376.0,715.0,3
20240731,969577.0,721.0,3
20240801,957644.0,647159.0,1
20240805,923379.0,615987.0,1
20240806,921075.0,123.0,3
20240807,911546.0,1186.0,3
20240808,895918.0,180.0,3
20240809,886422.0,448.0,3
20240812,948561.0,78.0,3
20240813,962599.0,833.0,3
20240814,994257.0,254.0,3
20240815,1024656.0,91.0,3
20240816,1019331.0,477.0,3
20240819,1009092.0,320.0,3
20240820,1010178.0,492.0,3
20240821,1003501.0,175.0,3
20240822,981796.0,1109.0,3
20240823,928409.0,768.0,3
20240826,977569.0,948.0,3
20240827,1006455.0,235.0,3
20240828,998208.0,32.0,3
20240829,1010412.0,601.0,3
20240830,1023431.0,563.0,3
20240902,1004823.0,254.0,3
20240903,1010969.0,1287.0,3
20240905,1004301.0,1628.0,3
20240906,1053918.0,560.0,3
20240909,1065620.0,170.0,3
20240910,1034964.0,62.0,3
20240911,1016348.0,102.0,3
20240912,1035311.0,138.0,3
20240913,997134.0,154.0,3
20240918,971076.0,707.0,3
20240919,970028.0,1106.0,3
20240920,985264.0,269.0,3
20240923,1037282.0,53.0,3
20240924,1077225.0,153.0,3
20240925,1127349.0,1051.0,3
20240926,1147604.0,1072.0,3
