ts_code,buy_date,buy_price,sell_date,sell_price,shares,return_pct,pnl
002952,20240116,39.85,20240117,36.3,8300,-8.91,-29465.0
603009,20240116,12.72,20240117,12.52,26300,-1.57,-5260.0
600178,20240116,13.45,20240117,12.66,24800,-5.87,-19592.0
000592,20240117,2.61,20240118,2.68,120700,2.68,8449.0
002172,20240117,4.38,20240118,4.26,71900,-2.74,-8628.0
603586,20240117,17.12,20240118,17.71,18400,3.45,10856.0
605389,20240118,26.8,20240119,25.89,11800,-3.4,-10738.0
002975,20240118,35.42,20240119,34.71,9000,-2.0,-6390.0
605186,20240118,35.55,20240119,34.46,9000,-3.07,-9810.0
001217,20240119,16.55,20240123,16.39,18700,-0.97,-2992.0
601595,20240119,24.09,20240123,23.52,12800,-2.37,-7296.0
603722,20240119,46.54,20240123,42.84,6600,-7.95,-24420.0
600629,20240123,4.71,20240124,5.18,63300,9.98,29751.0
603508,20240123,12.16,20240124,12.03,24500,-1.07,-3185.0
002805,20240123,14.95,20240124,14.73,19900,-1.47,-4378.0
600824,20240124,3.8,20240125,4.07,80400,7.11,21708.0
600626,20240124,3.48,20240125,3.61,87800,3.74,11414.0
002762,20240124,8.07,20240125,8.19,37800,1.49,4536.0
600480,20240125,6.58,20240126,6.62,48300,0.61,1932.0
600573,20240125,10.09,20240126,9.91,31500,-1.78,-5670.0
603131,20240125,15.05,20240126,14.71,21100,-2.26,-7174.0
603778,20240126,4.61,20240129,4.15,68200,-9.98,-31372.0
001219,20240126,16.2,20240129,15.94,19400,-1.6,-5044.0
603819,20240126,13.18,20240129,13.01,23800,-1.29,-4046.0
600189,20240129,8.99,20240130,9.02,33400,0.33,1002.0
002952,20240129,33.4,20240130,30.07,9000,-9.97,-29970.0
605377,20240129,9.82,20240130,9.99,30700,1.73,5219.0
600212,20240130,6.49,20240131,6.04,45100,-6.93,-20295.0
601058,20240130,11.29,20240131,11.48,25900,1.68,4921.0
600867,20240130,9.1,20240131,8.78,32300,-3.52,-10336.0
603897,20240131,14.7,20240201,13.93,19300,-5.24,-14861.0
603983,20240131,28.53,20240201,28.37,9900,-0.56,-1584.0
002319,20240131,11.64,20240201,12.8,24700,9.97,28652.0
600732,20240201,15.18,20240202,13.9,19000,-8.43,-24320.0
603312,20240201,29.38,20240202,27.27,9800,-7.18,-20678.0
000755,20240201,4.31,20240202,4.74,67100,9.98,28853.0
002400,20240202,4.99,20240205,4.64,56700,-7.01,-19845.0
000759,20240202,3.82,20240205,3.44,74100,-9.95,-28158.0
002033,20240202,8.32,20240205,7.96,34100,-4.33,-12276.0
603135,20240205,9.51,20240206,10.46,27600,9.99,26220.0
603958,20240205,13.92,20240206,12.53,18900,-9.99,-26271.0
600563,20240205,91.94,20240206,95.22,2800,3.57,9184.0
002195,20240206,2.36,20240207,2.56,112800,8.47,22560.0
000657,20240206,7.27,20240207,7.7,36600,5.91,15738.0
002038,20240206,7.82,20240207,8.01,34000,2.43,6460.0
600746,20240207,5.33,20240208,5.64,52700,5.82,16337.0
002724,20240207,5.26,20240208,5.44,53400,3.42,9612.0
600416,20240207,11.73,20240208,12.1,24000,3.15,8880.0
002323,20240208,1.49,20240219,1.55,196400,4.03,11784.0
002510,20240208,3.44,20240219,3.54,85100,2.91,8510.0
002765,20240208,3.91,20240219,4.13,74800,5.63,16456.0
001896,20240219,3.48,20240220,3.41,87600,-2.01,-6132.0
000815,20240219,7.11,20240220,7.4,42900,4.08,12441.0
600818,20240219,9.1,20240220,9.51,33500,4.51,13735.0
601968,20240220,4.74,20240221,4.68,65700,-1.27,-3942.0
